effective_key,management_row,owner,safe_until_jst,remaining_display,state,response_slot,source_file,captured_at_jst,notes,applied_columns
#509:K-3,1105,OWM,2026/06/03 15:00,2d 02:06:58,保護中,15:00-16:00,IMG_1527.PNG,2026/06/01 12:53:02,,"D:I,L; E preserved from current management table value"
#509:J-3,1094,OWM,2026/06/03 23:00,2d 10:06:48,保護中,23:00-24:00,IMG_1528.PNG,2026/06/01 12:53:13,,"D:I,L; E preserved from current management table value"
#503:I-3,866,xjR,2026/06/03 23:00,2d 10:06:40,保護中,23:00-24:00,IMG_1529.PNG,2026/06/01 12:53:20,adopted image_area_ocr #503; original specified_area was #509,"D:I,L; E preserved from current management table value"
#509:H-3,1069,KOCH,2026/06/03 15:00,2d 02:06:30,保護中,15:00-16:00,IMG_1530.PNG,2026/06/01 12:53:31,,"D:I,L; E preserved from current management table value"
#509:G-3,1055,ext,2026/06/03 15:00,2d 02:06:21,保護中,15:00-16:00,IMG_1531.PNG,2026/06/01 12:53:39,,"D:I,L; E preserved from current management table value"
#509:F-3,937,BHE,2026/06/03 15:00,2d 02:06:13,保護中,15:00-16:00,IMG_1532.PNG,2026/06/01 12:53:47,,"D:I,L; E preserved from current management table value"
#509:E-3,917,twD,2026/06/03 23:00,2d 10:06:07,保護中,23:00-24:00,IMG_1533.PNG,2026/06/01 12:53:53,,"D:I,L; E preserved from current management table value"
#509:D-3,953,twD,2026/06/03 23:00,2d 10:06:01,保護中,23:00-24:00,IMG_1534.PNG,2026/06/01 12:54:00,,"D:I,L; E preserved from current management table value"
#534:C-3,1613,SHA,2026/06/04 07:00,2d 18:05:52,保護中,07:00-08:00,IMG_1535.PNG,2026/06/01 12:54:08,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:B-3,1572,4tH,2026/06/04 07:00,2d 18:05:43,保護中,07:00-08:00,IMG_1536.PNG,2026/06/01 12:54:18,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:A-3,1564,SHA,2026/06/04 07:00,2d 18:05:34,保護中,07:00-08:00,IMG_1537.PNG,2026/06/01 12:54:26,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:K-1,1761,Dao,2026/06/03 23:00,2d 10:05:20,保護中,23:00-24:00,IMG_1538.PNG,2026/06/01 12:54:40,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:J-1,1741,nol,2026/06/03 23:00,2d 10:05:13,保護中,23:00-24:00,IMG_1539.PNG,2026/06/01 12:54:47,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:I-1,1722,nol,2026/06/03 23:00,2d 10:05:02,保護中,23:00-24:00,IMG_1540.PNG,2026/06/01 12:54:58,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:H-1,1707,Dao,2026/06/03 23:00,2d 10:04:55,保護中,23:00-24:00,IMG_1541.PNG,2026/06/01 12:55:06,visual_correction; adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#509:G-1,1046,ext,2026/06/03 15:00,2d 02:04:45,保護中,15:00-16:00,IMG_1542.PNG,2026/06/01 12:55:15,,"D:I,L; E preserved from current management table value"
#509:F-1,1035,ext,2026/06/03 15:00,2d 02:04:39,保護中,15:00-16:00,IMG_1543.PNG,2026/06/01 12:55:22,,"D:I,L; E preserved from current management table value"
#509:E-1,1024,ext,2026/06/03 15:00,2d 02:04:32,保護中,15:00-16:00,IMG_1544.PNG,2026/06/01 12:55:29,,"D:I,L; E preserved from current management table value"
#509:D-1,962,ext,2026/06/03 15:00,2d 02:04:25,保護中,15:00-16:00,IMG_1545.PNG,2026/06/01 12:55:36,,"D:I,L; E preserved from current management table value"
#534:C-1,1625,IDX,2026/06/04 07:00,2d 18:04:18,保護中,07:00-08:00,IMG_1546.PNG,2026/06/01 12:55:43,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#509:B-1,1002,tWD,2026/06/03 23:00,2d 10:04:09,保護中,23:00-24:00,IMG_1547.PNG,2026/06/01 12:55:51,,"D:I,L; E preserved from current management table value"
#509:A-1,984,TWD,2026/06/03 23:00,2d 10:04:00,保護中,23:00-24:00,IMG_1548.PNG,2026/06/01 12:56:00,,"D:I,L; E preserved from current management table value"
#534:K-21,1766,f4j,2026/06/04 07:00,2d 18:03:49,保護中,07:00-08:00,IMG_1549.PNG,2026/06/01 12:56:11,,"D:I,L; E preserved from current management table value"
#534:J-21,1753,nol,2026/06/03 23:00,2d 10:03:42,保護中,23:00-24:00,IMG_1550.PNG,2026/06/01 12:56:18,,"D:I,L; E preserved from current management table value"
#534:I-21,1734,DAK,2026/06/03 23:00,2d 10:03:31,保護中,23:00-24:00,IMG_1551.PNG,2026/06/01 12:56:29,,"D:I,L; E preserved from current management table value"
#534:H-21,1717,nO9,2026/06/03 23:00,2d 10:03:24,保護中,23:00-24:00,IMG_1552.PNG,2026/06/01 12:56:37,,"D:I,L; E preserved from current management table value"
#534:G-21,1703,nol,2026/06/03 23:00,2d 10:03:17,保護中,23:00-24:00,IMG_1553.PNG,2026/06/01 12:56:43,visual_correction,"D:I,L; E preserved from current management table value"
#534:F-21,1690,nol,2026/06/03 23:00,2d 10:03:10,保護中,23:00-24:00,IMG_1554.PNG,2026/06/01 12:56:50,visual_correction,"D:I,L; E preserved from current management table value"
#534:C-21,1646,SHA,2026/06/04 07:00,2d 18:02:41,保護中,07:00-08:00,IMG_1557.PNG,2026/06/01 12:57:19,,"D:I,L; E preserved from current management table value"
#534:B-21,1580,wG6f,2026/06/03 23:00,2d 10:02:33,保護中,23:00-24:00,IMG_1558.PNG,2026/06/01 12:57:28,,"D:I,L; E preserved from current management table value"
#534:A-21,1612,KTVS,2026/06/04 07:00,2d 18:02:25,保護中,07:00-08:00,IMG_1559.PNG,2026/06/01 12:57:35,,"D:I,L; E preserved from current management table value"
#534:K-19,1765,f4j,2026/06/03 23:00,2d 10:02:11,保護中,23:00-24:00,IMG_1560.PNG,2026/06/01 12:57:49,,"D:I,L; E preserved from current management table value"
#534:J-19,1750,nol,2026/06/03 23:00,2d 10:02:04,保護中,23:00-24:00,IMG_1561.PNG,2026/06/01 12:57:56,,"D:I,L; E preserved from current management table value"
#534:I-19,1731,nol,2026/06/03 23:00,2d 10:01:57,保護中,23:00-24:00,IMG_1562.PNG,2026/06/01 12:58:03,visual_correction,"D:I,L; E preserved from current management table value"
#534:H-19,1557,S9U,2026/06/03 23:00,2d 10:01:50,保護中,23:00-24:00,IMG_1563.PNG,2026/06/01 12:58:10,,"D:I,L; E preserved from current management table value"
#534:G-19,1700,nol,2026/06/03 23:00,2d 10:01:44,保護中,23:00-24:00,IMG_1564.PNG,2026/06/01 12:58:16,,"D:I,L; E preserved from current management table value"
#534:F-19,1689,89M,2026/06/03 23:00,2d 10:01:38,保護中,23:00-24:00,IMG_1565.PNG,2026/06/01 12:58:23,visual_correction,"D:I,L; E preserved from current management table value"
#534:E-19,1673,SOM,2026/06/03 23:00,2d 10:01:31,保護中,23:00-24:00,IMG_1566.PNG,2026/06/01 12:58:30,,"D:I,L; E preserved from current management table value"
#534:D-19,1657,Sg3,2026/06/03 23:00,2d 10:01:24,保護中,23:00-24:00,IMG_1567.PNG,2026/06/01 12:58:36,,"D:I,L; E preserved from current management table value"
#534:C-19,1643,IDX,2026/06/04 07:00,2d 18:01:18,保護中,07:00-08:00,IMG_1568.PNG,2026/06/01 12:58:43,,"D:I,L; E preserved from current management table value"
#534:B-19,1595,w6f,2026/06/03 23:00,2d 10:01:11,保護中,23:00-24:00,IMG_1569.PNG,2026/06/01 12:58:50,,"D:I,L; E preserved from current management table value"
#534:A-19,1611,KTVS,2026/06/04 07:00,2d 18:01:02,保護中,07:00-08:00,IMG_1570.PNG,2026/06/01 12:58:58,,"D:I,L; E preserved from current management table value"
