owner_alliance,matched_power_alliance,server,side,suggested_affiliation,suggested_pact_status,power,node_count,source,confidence,reason,already_in_directory,note
WUG,WUG,523,Enemy,enemy,attack_allowed,24480397281,18,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
WbW,WbW,480,Enemy,enemy,attack_allowed,24542849657,18,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
one,one,503,Enemy,enemy,attack_allowed,22491509000,18,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
BHE,BHE,509,Ally,ally,attack_allowed,23393263477,17,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
GcC,GcC,440,Ally,ally,attack_allowed,29973947565,17,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
EDFS,EDFS,523,Enemy,enemy,attack_allowed,12776123204,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
NBNH,NBNH,523,Enemy,enemy,attack_allowed,23583866369,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
RGWC,RGWC,534,Ally,ally,attack_allowed,6942560050,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
TIKW,TIKW,503,Enemy,enemy,attack_allowed,17496110302,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
TaW,TaW,440,Ally,ally,attack_allowed,17140808037,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
f4j,f4j,534,Ally,ally,attack_allowed,6573034919,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
fIrE,fIrE,523,Enemy,enemy,attack_allowed,22586813691,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
CDf8,CDf8,480,Enemy,enemy,attack_allowed,20299096515,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
JL2,JL2,511,Ally,ally,attack_allowed,4648607164,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
K4TR,K4TR,523,Enemy,enemy,attack_allowed,18876383757,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
MOn,MOn,509,Ally,ally,attack_allowed,26485159498,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
TrX,TrX,440,Ally,ally,attack_allowed,14544920129,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
ALj,ALj,476,Enemy,enemy,attack_allowed,13924027075,14,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
Bye,Bye,503,Enemy,enemy,attack_allowed,10990156128,14,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
Dao,Dao,534,Ally,ally,attack_allowed,3788512238,14,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
R6q,R6q,476,Enemy,enemy,attack_allowed,3520829653,13,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
sbM,sbM,511,Ally,ally,attack_allowed,3113545070,13,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
u3o,u3o,523,Enemy,enemy,attack_allowed,16935539884,13,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
JLO,JLO,511,Ally,ally,attack_allowed,18916223627,12,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
PmP,PmP,480,Enemy,enemy,attack_allowed,7010957684,12,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
Stj,Stj,503,Enemy,enemy,attack_allowed,19610538332,12,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
xjR,xjR,503,Enemy,enemy,attack_allowed,19557542834,12,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
AoW,AoW,509,Ally,ally,attack_allowed,8370958198,11,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
DOLU,DOLU,440,Ally,ally,attack_allowed,4603830416,11,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
MtG,MtG,480,Enemy,enemy,attack_allowed,3300656979,11,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
FarM,FarM,503,Enemy,enemy,attack_allowed,2556291518,10,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
IMp,IMp,440,Ally,ally,attack_allowed,11309594714,10,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
OTT,OTT,509,Ally,ally,attack_allowed,11891466204,10,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
UMN,UMN,503,Enemy,enemy,attack_allowed,15024630091,10,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
5DU,5DU,523,Enemy,enemy,attack_allowed,18832466594,9,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
eXt,eXt,509,Ally,ally,attack_allowed,7153868458,8,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
MOE,MOE,534,Ally,ally,attack_allowed,8330797349,7,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
WoW3,WoW3,440,Ally,ally,attack_allowed,2801146371,7,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
SHA0,SHA0,534,Ally,ally,attack_allowed,3433631937,6,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
CROW,CROW,534,Ally,ally,attack_allowed,2261888425,5,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
Ryu1,Ryu1,534,Ally,ally,attack_allowed,6866047162,5,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
Trh,Trh,534,Ally,ally,attack_allowed,2447326586,5,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
RING,RING,503,Enemy,enemy,attack_allowed,2331235688,4,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
aTA,aTA,440,Ally,ally,attack_allowed,2399657010,4,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
KOCH,KOCH,509,Ally,ally,attack_allowed,4204956581,3,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
UrE,UrE,523,Enemy,enemy,attack_allowed,1885723230,3,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
YDR,YDR,503,Enemy,enemy,attack_allowed,9918846287,3,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
hMt,hMt,503,Enemy,enemy,attack_allowed,3258210656,3,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
299,299,503,Enemy,enemy,attack_allowed,8124181928,2,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
ANH2,ANH2,440,Ally,ally,attack_allowed,3209028111,2,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
IXM,IXM,476,Enemy,enemy,attack_allowed,2623702528,2,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
SVh,SVh,511,Ally,ally,attack_allowed,1990637404,2,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
TRh,TRh,511,Ally,ally,attack_allowed,4213839843,2,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
moca,moca,534,Ally,ally,attack_allowed,5420272468,2,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
nv8,nv8,440,Ally,ally,attack_allowed,2395660651,2,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
59U,59U,534,Ally,ally,attack_allowed,1616385486,1,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
