rank,node_id,coord,node_type_norm,current_alliance,owner_server,server_side,frontline_group,risk_score,risk_level,risk_reason,recommended_action,confidence,memo_short
1,#480:d-12,d-12,city,,,unknown,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:23:21 / #480 X:549 Y:349 Lv.3都市 / 攻撃側 #440[GcC] / 防衛側 #480…
2,#509:c-10,c-10,city,,,unknown,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:22:48 / #509 X:449 Y:249 Lv.2都市 / 攻撃側 #503[Lghs] / 防衛側 #50…
3,#509:d-12,d-12,city,,,unknown,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:04:04 / #509 X:549 Y:349 Lv.3都市 / 攻撃側 #476[476A] / 防衛側 #50…
4,#511:d-14,d-14,city,,,unknown,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:35:01 / #511 X:649 Y:349 Lv.3都市 / 攻撃側 #480[WbW] / 防衛側 #511…
5,#534:c-10,c-10,city,,,unknown,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:11:39 / #534 X:449 Y:249 Lv.2都市 / 攻撃側 #476[476C] / 防衛側 #53…
6,#534:c-8,c-8,city,,,unknown,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:13:53 / #534 X:349 Y:249 Lv.2都市 / 攻撃側 #476[476C] / 防衛側 #53…
7,#534:d-12,d-12,city,,,unknown,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:02:15 / #534 X:549 Y:349 Lv.3都市 / 攻撃側 #476[476B] / 防衛側 #53…
8,#534:d-14,d-14,city,,,unknown,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:04:34 / #534 X:649 Y:349 Lv.3都市 / 攻撃側 #476[476B] / 防衛側 #53…
9,#480:d-10,d-10,city,,,unknown,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊ログ 2026/05/27 20:12:18 / #480 X:449 Y:349 Lv.3都市 / 攻撃側 #440[GcC] / 防衛側 #480…
10,#509:d-10,d-10,city,,,unknown,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊ログ 2026/05/27 20:17:55 / #509 X:449 Y:349 Lv.3都市 / 攻撃側 #476[476A] / 防衛側 #50…
11,#509:e-16,e-16,city,,,unknown,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊ログ 2026/05/28 12:20:43 / #509 X:749 Y:449 Lv.2都市 / 攻撃側 #503[Lghs] / 防衛側 #50…
12,#511:e-14,e-14,city,,,unknown,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊ログ 2026/05/28 12:25:14 / #511 X:649 Y:449 Lv.3都市 / 攻撃側 #480[BgNa] / 防衛側 #51…
13,#511:e-4,e-4,city,,,unknown,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊ログ 2026/05/28 12:19:34 / #511 X:149 Y:449 Lv.1都市 / 攻撃側 #523[EDFS] / 防衛側 #51…
14,#511:e-8,e-8,city,,,unknown,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊ログ 2026/05/27 20:23:12 / #511 X:349 Y:449 Lv.3都市 / 攻撃側 #523[WUG] / 防衛側 #511…
15,#476:g-2,g-2,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 13:24:45 / #476 X:49 Y:649 Lv.1都市 / 攻撃側 #534[89M] / 防衛側 #476 …
16,#476:i-2,i-2,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/27 20:02:38 / #476 X:49 Y:849 Lv.1都市 / 攻撃側 #534[nO9] / 防衛側 #476[…
17,#480:b-6,b-6,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 04:37:22 / #480 X:249 Y:149 Lv.1都市 / 攻撃側 #440[GoDs] / 防衛側 #48…
18,#480:b-8,b-8,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 12:01:52 / #480 X:349 Y:149 Lv.1都市 / 攻撃側 #440[GoDs] / 防衛側 #48…
19,#480:c-14,c-14,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 12:20:01 / #480 X:649 Y:249 Lv.2都市 / 攻撃側 #509[SsQ] / 防衛側 #480…
20,#480:c-16,c-16,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 12:17:50 / #480 X:749 Y:249 Lv.2都市 / 攻撃側 #509[SsQ] / 防衛側 #480…
21,#480:c-6,c-6,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 12:11:30 / #480 X:249 Y:249 Lv.2都市 / 攻撃側 #440[BAJ] / 防衛側 #480…
22,#509:a-10,a-10,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 00:52:11 / #509 X:449 Y:49 Lv.1都市 / 攻撃側 #476[ALj] / 防衛側 #509 …
23,#509:a-12,a-12,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 03:09:40 / #509 X:549 Y:49 Lv.1都市 / 攻撃側 #476[476K] / 防衛側 #509…
24,#509:a-14,a-14,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 03:04:40 / #509 X:649 Y:49 Lv.1都市 / 攻撃側 #476[476K] / 防衛側 #509…
25,#509:a-4,a-4,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 00:17:43 / #509 X:149 Y:49 Lv.1都市 / 攻撃側 #476[476Z] / 防衛側 #509…
26,#509:a-6,a-6,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 00:11:44 / #509 X:249 Y:49 Lv.1都市 / 攻撃側 #476[476Z] / 防衛側 #509…
27,#509:a-8,a-8,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 00:35:38 / #509 X:349 Y:49 Lv.1都市 / 攻撃側 #476[ALj] / 防衛側 #509 …
28,#509:c-18,c-18,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 12:19:52 / #509 X:849 Y:249 Lv.1都市 / 攻撃側 #480[RCON] / 防衛側 #50…
29,#509:f-16,f-16,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 12:01:56 / #509 X:749 Y:549 Lv.2都市 / 攻撃側 #503[GX99] / 防衛側 #50…
30,#509:f-18,f-18,city,,,unknown,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊ログ 2026/05/28 12:02:34 / #509 X:849 Y:549 Lv.1都市 / 攻撃側 #503[Bye] / 防衛側 #509…
